player_id,name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
97771689,Martin Verkerk,martin verkerk,NED,R,196.0,2002-08-26,2007-05-28
83716658,David Ferrer,david ferrer,ESP,R,175.0,2003-01-13,2018-08-27
80497011,Marc Lopez,marc lopez,ESP,R,175.0,2003-05-26,2008-05-25
74748450,Giorgio Galimberti,giorgio galimberti,ITA,R,180.0,2002-05-27,2005-08-29
39371802,Ivo Karlovic,ivo karlovic,CRO,R,208.0,2003-06-23,2021-08-30
88325317,Paul Baccanello,paul baccanello,AUS,R,183.0,2003-06-23,2005-01-17
55937811,Rafael Nadal,rafael nadal,ESP,L,185.0,2003-06-23,2024-05-27
91148745,Lee Childs,lee childs,GBR,R,,2001-06-25,2007-06-25
17202770,Brian Vahaly,brian vahaly,USA,R,183.0,2002-06-24,2004-01-19
97460274,Takao Suzuki,takao suzuki,JPN,R,175.0,2001-01-15,2005-01-17
26086388,Gilles Elseneer,gilles elseneer,BEL,R,188.0,2003-06-23,2005-08-29
16204816,Wesley Moodie,wesley moodie,RSA,R,196.0,2003-06-23,2006-08-28
57388540,Frederic Niemeyer,frederic niemeyer,CAN,R,190.0,2003-06-23,2003-06-23
13234065,Stefano Galvani,stefano galvani,ITA,R,178.0,2001-05-28,2010-05-24
85547097,Tomas Berdych,tomas berdych,CZE,R,196.0,2003-08-25,2019-08-26
13157411,Fernando Verdasco,fernando verdasco,ESP,L,188.0,2003-06-23,2022-08-29
89707889,Dmitry Tursunov,dmitry tursunov,RUS,R,185.0,2003-08-25,2017-08-28
34153789,Olivier Patience,olivier patience,FRA,R,180.0,2002-01-14,2010-05-24
97298575,Chris Guccione,chris guccione,AUS,L,201.0,2004-01-19,2009-08-31
22277525,Glenn Weiner,glenn weiner,USA,R,188.0,2004-01-19,2005-08-29
54841154,Joachim Johansson,joachim johansson,SWE,R,198.0,2003-01-13,2007-01-15
36011494,Filippo Volandri,filippo volandri,ITA,R,183.0,2003-05-26,2014-06-23
41390785,Florian Mayer,florian mayer,GER,R,190.0,2004-01-19,2018-08-27
98970411,Thierry Ascione,thierry ascione,FRA,R,188.0,2003-05-26,2008-06-23
52476355,Todd Reid,todd reid,AUS,R,180.0,2002-01-14,2005-01-17
51968125,Potito Starace,potito starace,ITA,R,188.0,2004-05-24,2014-05-26
52112762,Alejandro Falla,alejandro falla,COL,L,185.0,2004-05-24,2015-06-29
86694730,Igor Andreev,igor andreev,RUS,R,185.0,2004-01-19,2013-06-24
43815306,Julien Benneteau,julien benneteau,FRA,R,185.0,2002-05-27,2018-08-27
91450352,Daniel Elsner,daniel elsner,GER,R,183.0,2001-01-15,2004-08-30
44308593,Guillermo Garcia Lopez,guillermo garcia lopez,ESP,R,188.0,2004-05-24,2019-08-26
62989105,Juan Monaco,juan monaco,ARG,R,185.0,2004-05-24,2016-08-29
69717607,Jerome Haehnel,jerome haehnel,FRA,R,185.0,2004-05-24,2007-05-28
76476269,Julien Jeanpierre,julien jeanpierre,FRA,R,188.0,2004-05-24,2004-05-24
12393284,Yen Hsun Lu,yen hsun lu,TPE,R,180.0,2004-06-21,2021-06-28
12793095,Daniele Bracciali,daniele bracciali,ITA,R,180.0,2004-06-21,2007-05-28
98801294,Mark Hilton,mark hilton,GBR,L,170.0,2001-06-25,2004-06-21
96786913,Stefano Pescosolido,stefano pescosolido,ITA,R,185.0,2004-06-21,2004-06-21
19029000,Alexander Peya,alexander peya,AUT,R,183.0,2004-05-24,2009-06-22
67925816,Marcos Baghdatis,marcos baghdatis,CYP,R,183.0,2004-08-30,2019-07-01
81531123,Amer Delic,amer delic,BIH,R,196.0,2003-08-25,2009-01-19
71050446,Tuomas Ketola,tuomas ketola,FIN,R,185.0,2002-08-26,2005-06-20
73587299,Ricardo Mello,ricardo mello,BRA,L,175.0,2004-01-19,2012-08-27
67560105,Philipp Kohlschreiber,philipp kohlschreiber,GER,R,178.0,2003-08-25,2022-01-17
69279438,Andreas Seppi,andreas seppi,ITA,R,190.0,2004-08-30,2022-01-17
87912353,Tomas Zib,tomas zib,CZE,R,178.0,2000-01-17,2008-08-25
40398059,Peter Wessels,peter wessels,NED,R,196.0,2000-01-17,2005-08-29
14523194,Gael Monfils,gael monfils,FRA,R,193.0,2005-01-17,2024-08-26
46369071,Janko Tipsarevic,janko tipsarevic,SRB,R,180.0,2003-08-25,2019-08-26
4783295,Kevin Kim,kevin kim,USA,R,180.0,2000-08-28,2009-08-31
13230585,Santiago Ventura,santiago ventura,ESP,R,183.0,2005-01-17,2010-06-21
83730404,Bobby Reynolds,bobby reynolds,USA,R,183.0,2004-08-30,2013-06-24
39090281,Jan Hernych,jan hernych,CZE,R,190.0,2004-06-21,2015-01-19
38987619,Nathan Healey,nathan healey,AUS,R,180.0,2005-01-17,2006-05-29
13232081,Nicolas Almagro,nicolas almagro,ESP,R,183.0,2004-05-24,2017-08-28
8224300,Robin Vik,robin vik,CZE,R,183.0,2005-05-23,2006-08-28
12288181,Oscar Hernandez,oscar hernandez,ESP,R,180.0,2004-01-19,2010-06-21
49863833,Richard Gasquet,richard gasquet,FRA,R,185.0,2002-05-27,2024-05-27
4556937,Florent Serra,florent serra,FRA,R,180.0,2004-05-24,2013-08-26
15497587,Novak Djokovic,novak djokovic,SRB,R,188.0,2005-01-17,2024-08-26
26676430,Lukas Dlouhy,lukas dlouhy,CZE,R,185.0,2005-05-23,2008-01-14
64988739,Kristof Vliegen,kristof vliegen,BEL,R,193.0,2003-08-25,2010-08-30
99794533,Stan Wawrinka,stan wawrinka,SUI,R,183.0,2005-05-23,2024-08-26
29413365,Ivo Minar,ivo minar,CZE,R,183.0,2005-06-20,2009-06-22
41060991,Alessio Di Mauro,alessio di mauro,ITA,L,185.0,2005-06-20,2007-05-28
23828697,Danai Udomchoke,danai udomchoke,THA,R,173.0,2004-08-30,2012-01-16
20295594,David Sherwood,david sherwood,GBR,R,193.0,2005-06-20,2005-06-20
16561313,Andy Murray,andy murray,GBR,R,190.0,2005-06-20,2024-05-27
77745282,Gilles Muller,gilles muller,LUX,L,193.0,2004-01-19,2018-08-27
47280540,Michael Lammer,michael lammer,SUI,R,185.0,2005-08-29,2006-01-16
52278759,Paul Capdeville,paul capdeville,CHI,R,190.0,2005-08-29,2009-08-31
11118569,Brian Baker,brian baker,USA,R,190.0,2003-08-25,2016-08-29
62487735,Scoville Jenkins,scoville jenkins,USA,R,188.0,2004-08-30,2008-08-25
67517286,Boris Pashanski,boris pashanski,SRB,R,180.0,2006-01-16,2008-06-23
80968785,Alex Bogomolov Jr,alex bogomolov jr,RUS,R,178.0,2001-08-27,2014-01-13
84502763,Federico Luzzi,federico luzzi,ITA,R,188.0,2001-05-28,2006-01-16
66451259,Jean Christophe Faurel,jean christophe faurel,FRA,R,175.0,2006-01-16,2006-06-26
14114740,Jimmy Wang,jimmy wang,TPE,R,178.0,2004-06-21,2015-01-19
72416099,Gilles Simon,gilles simon,FRA,R,183.0,2005-05-23,2022-05-23
97444336,Denis Gremelmayr,denis gremelmayr,GER,L,183.0,2006-01-16,2011-06-20
50971925,Marc Gicquel,marc gicquel,FRA,R,188.0,2004-05-24,2013-06-24
56351536,Ilija Bozoljac,ilija bozoljac,SRB,R,193.0,2006-05-29,2010-06-21
21104031,Martin Vassallo Arguello,martin vassallo arguello,ARG,R,183.0,2002-05-27,2010-01-18
76821711,Evgeny Korolev,evgeny korolev,KAZ,R,185.0,2006-05-29,2010-08-30
83798763,Dieter Kindlmann,dieter kindlmann,GER,R,183.0,2005-01-17,2010-05-24
97126803,Jeremy Chardy,jeremy chardy,FRA,R,188.0,2006-05-29,2023-07-03
13595638,Ruben Ramirez Hidalgo,ruben ramirez hidalgo,ESP,R,183.0,2003-08-25,2013-01-14
54659232,Mathieu Montcourt,mathieu montcourt,FRA,R,183.0,2006-05-29,2009-05-25
57356666,Nicolas Mahut,nicolas mahut,FRA,R,190.0,2000-05-29,2019-05-27
86301183,Richard Bloomfield,richard bloomfield,GBR,R,185.0,2003-06-23,2007-06-25
52322297,Igor Kunitsyn,igor kunitsyn,RUS,R,180.0,2002-08-26,2012-06-25
12506113,Benjamin Becker,benjamin becker,GER,R,178.0,2006-06-26,2016-08-29
46057727,Roko Karanusic,roko karanusic,CRO,R,183.0,2003-08-25,2009-06-22
27513652,Melle Van Gemerden,melle van gemerden,NED,R,183.0,2005-01-17,2006-06-26
44828221,Robert Kendrick,robert kendrick,USA,R,190.0,2003-06-23,2011-05-22
87495064,Sam Querrey,sam querrey,USA,R,198.0,2006-08-28,2022-08-29
55397826,Teymuraz Gabashvili,teymuraz gabashvili,RUS,R,188.0,2006-08-28,2017-05-29
64872709,Ryan Sweeting,ryan sweeting,USA,R,196.0,2006-08-28,2012-06-25
51250002,Jan Hajek,jan hajek,CZE,R,180.0,2006-08-28,2014-01-13
