name,name_norm,ioc,hand,height_cm,first_seen_date,last_seen_date
Amer Delic,amer delic,BIH,R,196.0,2003-08-25,2009-01-19
Tuomas Ketola,tuomas ketola,FIN,R,185.0,2002-08-26,2005-06-20
Ricardo Mello,ricardo mello,BRA,L,175.0,2004-01-19,2012-08-27
Philipp Kohlschreiber,philipp kohlschreiber,GER,R,178.0,2003-08-25,2022-01-17
Andreas Seppi,andreas seppi,ITA,R,190.0,2004-08-30,2022-01-17
Tomas Zib,tomas zib,CZE,R,178.0,2000-01-17,2008-08-25
Peter Wessels,peter wessels,NED,R,196.0,2000-01-17,2005-08-29
Gael Monfils,gael monfils,FRA,R,193.0,2005-01-17,2024-08-26
Janko Tipsarevic,janko tipsarevic,SRB,R,180.0,2003-08-25,2019-08-26
Kevin Kim,kevin kim,USA,R,180.0,2000-08-28,2009-08-31
Santiago Ventura,santiago ventura,ESP,R,183.0,2005-01-17,2010-06-21
Bobby Reynolds,bobby reynolds,USA,R,183.0,2004-08-30,2013-06-24
Jan Hernych,jan hernych,CZE,R,190.0,2004-06-21,2015-01-19
Nathan Healey,nathan healey,AUS,R,180.0,2005-01-17,2006-05-29
Nicolas Almagro,nicolas almagro,ESP,R,183.0,2004-05-24,2017-08-28
Robin Vik,robin vik,CZE,R,183.0,2005-05-23,2006-08-28
Oscar Hernandez,oscar hernandez,ESP,R,180.0,2004-01-19,2010-06-21
Richard Gasquet,richard gasquet,FRA,R,185.0,2002-05-27,2024-05-27
Florent Serra,florent serra,FRA,R,180.0,2004-05-24,2013-08-26
Novak Djokovic,novak djokovic,SRB,R,188.0,2005-01-17,2024-08-26
Lukas Dlouhy,lukas dlouhy,CZE,R,185.0,2005-05-23,2008-01-14
Kristof Vliegen,kristof vliegen,BEL,R,193.0,2003-08-25,2010-08-30
Stan Wawrinka,stan wawrinka,SUI,R,183.0,2005-05-23,2024-08-26
Ivo Minar,ivo minar,CZE,R,183.0,2005-06-20,2009-06-22
Alessio Di Mauro,alessio di mauro,ITA,L,185.0,2005-06-20,2007-05-28
Danai Udomchoke,danai udomchoke,THA,R,173.0,2004-08-30,2012-01-16
David Sherwood,david sherwood,GBR,R,193.0,2005-06-20,2005-06-20
Andy Murray,andy murray,GBR,R,190.0,2005-06-20,2024-05-27
Gilles Muller,gilles muller,LUX,L,193.0,2004-01-19,2018-08-27
Michael Lammer,michael lammer,SUI,R,185.0,2005-08-29,2006-01-16
Paul Capdeville,paul capdeville,CHI,R,190.0,2005-08-29,2009-08-31
Brian Baker,brian baker,USA,R,190.0,2003-08-25,2016-08-29
Scoville Jenkins,scoville jenkins,USA,R,188.0,2004-08-30,2008-08-25
Boris Pashanski,boris pashanski,SRB,R,180.0,2006-01-16,2008-06-23
Alex Bogomolov Jr,alex bogomolov jr,RUS,R,178.0,2001-08-27,2014-01-13
Federico Luzzi,federico luzzi,ITA,R,188.0,2001-05-28,2006-01-16
Jean Christophe Faurel,jean christophe faurel,FRA,R,175.0,2006-01-16,2006-06-26
Jimmy Wang,jimmy wang,TPE,R,178.0,2004-06-21,2015-01-19
Gilles Simon,gilles simon,FRA,R,183.0,2005-05-23,2022-05-23
Denis Gremelmayr,denis gremelmayr,GER,L,183.0,2006-01-16,2011-06-20
Marc Gicquel,marc gicquel,FRA,R,188.0,2004-05-24,2013-06-24
Ilija Bozoljac,ilija bozoljac,SRB,R,193.0,2006-05-29,2010-06-21
Martin Vassallo Arguello,martin vassallo arguello,ARG,R,183.0,2002-05-27,2010-01-18
Evgeny Korolev,evgeny korolev,KAZ,R,185.0,2006-05-29,2010-08-30
Dieter Kindlmann,dieter kindlmann,GER,R,183.0,2005-01-17,2010-05-24
Jeremy Chardy,jeremy chardy,FRA,R,188.0,2006-05-29,2023-07-03
Ruben Ramirez Hidalgo,ruben ramirez hidalgo,ESP,R,183.0,2003-08-25,2013-01-14
Mathieu Montcourt,mathieu montcourt,FRA,R,183.0,2006-05-29,2009-05-25
Nicolas Mahut,nicolas mahut,FRA,R,190.0,2000-05-29,2019-05-27
Richard Bloomfield,richard bloomfield,GBR,R,185.0,2003-06-23,2007-06-25
