tourney_id,tourney_name,surface,tourney_date,draw_size,tourney_level,match_num,best_of,round,minutes,score,winner_id,winner_name,winner_name_norm,winner_hand,winner_ioc,winner_age,winner_rank,winner_seed,winner_ht,loser_id,loser_name,loser_name_norm,loser_hand,loser_ioc,loser_age,loser_rank,loser_seed,loser_ht,__source_year,match_key,winner_player_id,loser_player_id
2000-580,Australian Open,Hard,2000-01-17,128,G,38,5,R128,141.0,6-4 6-3 2-6 7-6(5),12574334,Jiri Vanek,jiri vanek,R,CZE,21.7,153.0,,185.0,40398059,Peter Wessels,peter wessels,R,NED,21.6,114.0,,196.0,2000,2000-580_R128_Jiri Vanek_vs_Peter Wessels,74469197,49514387
2000-580,Australian Open,Hard,2000-01-17,128,G,39,5,R128,176.0,6-3 7-6(7) 6-7(5) 6-1,42920977,Gianluca Pozzi,gianluca pozzi,L,ITA,34.5,82.0,,180.0,87912353,Tomas Zib,tomas zib,R,CZE,23.9,118.0,,178.0,2000,2000-580_R128_Gianluca Pozzi_vs_Tomas Zib,87536495,86526576
2000-580,Australian Open,Hard,2000-01-17,128,G,40,5,R128,159.0,7-5 6-4 3-6 6-3,70734302,Magnus Norman,magnus norman,R,SWE,23.6,11.0,12.0,188.0,17996753,Cecil Mamiit,cecil mamiit,R,PHI,23.5,97.0,,173.0,2000,2000-580_R128_Magnus Norman_vs_Cecil Mamiit,92541299,97674767
2000-580,Australian Open,Hard,2000-01-17,128,G,41,5,R128,180.0,6-4 2-6 7-5 1-6 9-7,25580944,Goran Ivanisevic,goran ivanisevic,L,CRO,28.3,70.0,,193.0,98371983,Cedric Pioline,cedric pioline,R,FRA,30.5,15.0,13.0,188.0,2000,2000-580_R128_Goran Ivanisevic_vs_Cedric Pioline,29156826,27643104
2000-580,Australian Open,Hard,2000-01-17,128,G,42,5,R128,134.0,3-6 6-1 6-4 7-6(3),71402194,Francisco Clavet,francisco clavet,L,ESP,31.2,39.0,,183.0,87917681,Dominik Hrbaty,dominik hrbaty,R,SVK,22.0,22.0,,183.0,2000,2000-580_R128_Francisco Clavet_vs_Dominik Hrbaty,71979332,10010775
2000-580,Australian Open,Hard,2000-01-17,128,G,43,5,R128,168.0,6-3 6-3 4-6 7-6(2),86894981,Wayne Ferreira,wayne ferreira,R,RSA,28.3,53.0,,185.0,12391329,George Bastl,george bastl,R,SUI,24.7,78.0,,183.0,2000,2000-580_R128_Wayne Ferreira_vs_George Bastl,66853937,68445073
2000-580,Australian Open,Hard,2000-01-17,128,G,44,5,R128,104.0,6-1 6-2 6-4,51837055,Thomas Johansson,thomas johansson,R,SWE,24.8,42.0,,180.0,68311217,Nicklas Kulti,nicklas kulti,R,SWE,28.7,121.0,,190.0,2000,2000-580_R128_Thomas Johansson_vs_Nicklas Kulti,61904868,76632297
2000-580,Australian Open,Hard,2000-01-17,128,G,45,5,R128,82.0,6-3 6-3 6-2,58261720,Michael Llodra,michael llodra,L,FRA,19.6,263.0,,190.0,63396451,Gaston Gaudio,gaston gaudio,R,ARG,21.1,61.0,,175.0,2000,2000-580_R128_Michael Llodra_vs_Gaston Gaudio,62218960,76485336
2000-580,Australian Open,Hard,2000-01-17,128,G,46,5,R128,120.0,6-4 7-6(5) 7-5,9233860,Karim Alami,karim alami,R,MAR,26.6,35.0,,185.0,89845448,Lorenzo Manta,lorenzo manta,R,SUI,25.3,107.0,,190.0,2000,2000-580_R128_Karim Alami_vs_Lorenzo Manta,49269647,75117239
2000-580,Australian Open,Hard,2000-01-17,128,G,47,5,R128,152.0,6-2 4-6 6-7(5) 6-3 6-0,33333651,Tomas Behrend,tomas behrend,R,GER,25.0,106.0,,193.0,83072391,Fernando Meligeni,fernando meligeni,L,BRA,28.7,28.0,,180.0,2000,2000-580_R128_Tomas Behrend_vs_Fernando Meligeni,87693766,74718412
2000-580,Australian Open,Hard,2000-01-17,128,G,48,5,R128,180.0,4-6 6-3 6-4 6-4,72369183,Nicolas Kiefer,nicolas kiefer,R,GER,22.5,4.0,4.0,183.0,5497639,Guillermo Canas,guillermo canas,R,ARG,22.1,74.0,,185.0,2000,2000-580_R128_Nicolas Kiefer_vs_Guillermo Canas,31470746,24792278
2000-580,Australian Open,Hard,2000-01-17,128,G,49,5,R128,218.0,6-3 5-7 6-7(2) 6-4 8-6,3847585,Nicolas Lapentti,nicolas lapentti,R,ECU,23.4,7.0,7.0,188.0,72102132,Andrei Medvedev,andrei medvedev,R,UKR,25.3,32.0,,193.0,2000,2000-580_R128_Nicolas Lapentti_vs_Andrei Medvedev,17733607,54487331
2000-580,Australian Open,Hard,2000-01-17,128,G,50,5,R128,92.0,7-6(2) 6-4 RET,4261640,Arnaud Clement,arnaud clement,R,FRA,22.0,54.0,,173.0,42602287,John Van Lottum,john van lottum,R,NED,23.7,66.0,,185.0,2000,2000-580_R128_Arnaud Clement_vs_John Van Lottum,54968648,10514968
2000-580,Australian Open,Hard,2000-01-17,128,G,51,5,R128,135.0,6-1 3-6 6-3 7-5,97818851,Jan Kroslak,jan kroslak,R,SVK,25.2,104.0,,188.0,69763598,Alex Lopez Moron,alex lopez moron,R,ESP,29.1,117.0,,175.0,2000,2000-580_R128_Jan Kroslak_vs_Alex Lopez Moron,81647881,48249752
2000-580,Australian Open,Hard,2000-01-17,128,G,52,5,R128,125.0,6-4 6-4 7-6(5),49178154,Roger Federer,roger federer,R,SUI,18.4,62.0,,185.0,45848466,Michael Chang,michael chang,R,USA,27.9,38.0,,175.0,2000,2000-580_R128_Roger Federer_vs_Michael Chang,12893523,1316263
2000-580,Australian Open,Hard,2000-01-17,128,G,53,5,R128,105.0,7-6(3) 6-3 7-6(3),87437430,Juan Carlos Ferrero,juan carlos ferrero,R,ESP,19.9,40.0,,183.0,83240724,Scott Draper,scott draper,L,AUS,25.6,200.0,,178.0,2000,2000-580_R128_Juan Carlos Ferrero_vs_Scott Draper,21077683,87118190
2000-580,Australian Open,Hard,2000-01-17,128,G,54,5,R128,148.0,6-2 7-6(3) 6-7(3) 6-3,83740900,Laurence Tieleman,laurence tieleman,R,ITA,27.1,89.0,,180.0,60358498,Alberto Martin,alberto martin,R,ESP,21.4,52.0,,175.0,2000,2000-580_R128_Laurence Tieleman_vs_Alberto Martin,15801505,83316041
2000-580,Australian Open,Hard,2000-01-17,128,G,55,5,R128,175.0,6-7(8) 7-6(5) 1-6 6-3 6-1,3967655,Younes El Aynaoui,younes el aynaoui,R,MAR,28.3,29.0,,193.0,80402364,Arvind Parmar,arvind parmar,R,GBR,21.8,257.0,,193.0,2000,2000-580_R128_Younes El Aynaoui_vs_Arvind Parmar,24738045,19102570
2000-580,Australian Open,Hard,2000-01-17,128,G,56,5,R128,144.0,7-6(2) 6-4 4-6 6-2,77609510,Tommy Haas,tommy haas,R,GER,21.7,12.0,10.0,188.0,34277736,Cyril Saulnier,cyril saulnier,R,FRA,24.4,171.0,,190.0,2000,2000-580_R128_Tommy Haas_vs_Cyril Saulnier,91918332,90506107
2000-580,Australian Open,Hard,2000-01-17,128,G,57,5,R128,148.0,6-3 6-7(8) 6-4 6-3,16522696,Christophe Rochus,christophe rochus,R,BEL,21.0,120.0,,170.0,85625579,Albert Costa,albert costa,R,ESP,24.5,20.0,15.0,180.0,2000,2000-580_R128_Christophe Rochus_vs_Albert Costa,94662776,20481490
2000-580,Australian Open,Hard,2000-01-17,128,G,58,5,R128,134.0,6-1 7-6(6) 4-6 6-1,55685134,Kevin Ullyett,kevin ullyett,R,ZIM,27.6,182.0,,178.0,26349341,Michal Tabara,michal tabara,R,CZE,20.4,122.0,,175.0,2000,2000-580_R128_Kevin Ullyett_vs_Michal Tabara,31628674,25055606
2000-580,Australian Open,Hard,2000-01-17,128,G,59,5,R128,121.0,6-4 6-4 7-6(4),85526331,Antony Dupuis,antony dupuis,R,FRA,26.8,98.0,,185.0,35347652,Martin Rodriguez,martin rodriguez,R,ARG,30.0,119.0,,178.0,2000,2000-580_R128_Antony Dupuis_vs_Martin Rodriguez,53195913,68527135
2000-580,Australian Open,Hard,2000-01-17,128,G,60,5,R128,161.0,6-7(5) 7-6(5) 6-3 6-3,81013241,Max Mirnyi,max mirnyi,R,BLR,22.5,67.0,,196.0,76020618,Ronald Agenor,ronald agenor,R,USA,35.1,94.0,,180.0,2000,2000-580_R128_Max Mirnyi_vs_Ronald Agenor,54365619,28757759
2000-580,Australian Open,Hard,2000-01-17,128,G,61,5,R128,158.0,6-3 5-7 6-2 6-4,18003344,Stefan Koubek,stefan koubek,L,AUT,23.0,43.0,,175.0,33909605,Rodolphe Cadart,rodolphe cadart,L,FRA,21.4,217.0,,183.0,2000,2000-580_R128_Stefan Koubek_vs_Rodolphe Cadart,69580218,8248366
2000-580,Australian Open,Hard,2000-01-17,128,G,62,5,R128,96.0,7-6(4) 6-4 6-1,32644605,Grant Stafford,grant stafford,R,RSA,28.6,472.0,,188.0,50825699,Marat Safin,marat safin,R,RUS,19.9,23.0,,193.0,2000,2000-580_R128_Grant Stafford_vs_Marat Safin,65087101,32906707
2000-580,Australian Open,Hard,2000-01-17,128,G,63,5,R128,166.0,1-6 7-6(4) 7-6(11) 6-2,14676650,Daniel Vacek,daniel vacek,R,CZE,28.7,44.0,,190.0,20863966,Orlin Stanoytchev,orlin stanoytchev,R,BUL,28.3,109.0,,185.0,2000,2000-580_R128_Daniel Vacek_vs_Orlin Stanoytchev,41108922,3644249
2000-580,Australian Open,Hard,2000-01-17,128,G,64,5,R128,152.0,6-7(4) 6-4 6-1 6-2,7023329,Yevgeny Kafelnikov,yevgeny kafelnikov,R,RUS,25.9,2.0,2.0,190.0,82741393,Jens Knippschild,jens knippschild,R,GER,24.9,85.0,,190.0,2000,2000-580_R128_Yevgeny Kafelnikov_vs_Jens Knippschild,27321291,9659505
2000-580,Australian Open,Hard,2000-01-17,128,G,65,5,R64,93.0,7-5 6-0 6-3,11102392,Andre Agassi,andre agassi,R,USA,29.7,1.0,1.0,180.0,44008742,Sjeng Schalken,sjeng schalken,R,NED,23.3,47.0,,193.0,2000,2000-580_R64_Andre Agassi_vs_Sjeng Schalken,17136950,68910611
2000-580,Australian Open,Hard,2000-01-17,128,G,66,5,R64,182.0,7-6(6) 4-6 6-1 6-4,77505174,Mariano Zabaleta,mariano zabaleta,R,ARG,21.8,33.0,,183.0,51113511,Todd Woodbridge,todd woodbridge,R,AUS,28.7,204.0,,178.0,2000,2000-580_R64_Mariano Zabaleta_vs_Todd Woodbridge,51436541,92216427
2000-580,Australian Open,Hard,2000-01-17,128,G,67,5,R64,160.0,6-3 7-6(5) 6-7(4) 6-4,90838898,Andrew Ilie,andrew ilie,R,AUS,23.7,46.0,,180.0,30999997,Jiri Novak,jiri novak,R,CZE,24.8,37.0,,190.0,2000,2000-580_R64_Andrew Ilie_vs_Jiri Novak,91651475,32860737
2000-580,Australian Open,Hard,2000-01-17,128,G,68,5,R64,117.0,6-1 2-6 7-6(4) 6-1,94711021,Mark Philippoussis,mark philippoussis,R,AUS,23.1,19.0,16.0,196.0,66750014,Raemon Sluiter,raemon sluiter,R,NED,21.7,166.0,,185.0,2000,2000-580_R64_Mark Philippoussis_vs_Raemon Sluiter,89146262,91406790
2000-580,Australian Open,Hard,2000-01-17,128,G,69,5,R64,117.0,2-6 6-3 6-1 6-3,69597542,Nicolas Escude,nicolas escude,R,FRA,23.7,34.0,,185.0,36968764,Richard Krajicek,richard krajicek,R,NED,28.1,10.0,9.0,196.0,2000,2000-580_R64_Nicolas Escude_vs_Richard Krajicek,54588163,85574457
2000-580,Australian Open,Hard,2000-01-17,128,G,70,5,R64,106.0,7-6(3) 6-4 6-3,64976992,Andreas Vinciguerra,andreas vinciguerra,L,SWE,18.9,99.0,,180.0,42118974,Leander Paes,leander paes,R,IND,26.5,137.0,,178.0,2000,2000-580_R64_Andreas Vinciguerra_vs_Leander Paes,59483736,72775784
2000-580,Australian Open,Hard,2000-01-17,128,G,71,5,R64,107.0,6-3 6-4 6-4,816572,Hicham Arazi,hicham arazi,L,MAR,26.2,41.0,,175.0,92116393,Fredrik Jonsson,fredrik jonsson,R,SWE,22.8,123.0,,193.0,2000,2000-580_R64_Hicham Arazi_vs_Fredrik Jonsson,2070089,86115486
2000-580,Australian Open,Hard,2000-01-17,128,G,72,5,R64,167.0,6-4 2-6 3-6 6-3 7-5,6753030,Fernando Vicente,fernando vicente,R,ESP,22.8,55.0,,180.0,32289235,Todd Martin,todd martin,R,USA,29.5,9.0,8.0,198.0,2000,2000-580_R64_Fernando Vicente_vs_Todd Martin,33491560,70965625
2000-580,Australian Open,Hard,2000-01-17,128,G,73,5,R64,91.0,6-3 7-6(6) 6-1,39156396,Pete Sampras,pete sampras,R,USA,28.4,3.0,3.0,185.0,71243762,Mikael Tillstrom,mikael tillstrom,R,SWE,27.8,79.0,,185.0,2000,2000-580_R64_Pete Sampras_vs_Mikael Tillstrom,87721625,25791149
2000-580,Australian Open,Hard,2000-01-17,128,G,74,5,R64,138.0,6-1 2-6 7-6(1) 6-3,59777894,Wayne Black,wayne black,R,ZIM,26.1,151.0,,170.0,87906222,Marc Rosset,marc rosset,R,SUI,29.1,45.0,,201.0,2000,2000-580_R64_Wayne Black_vs_Marc Rosset,33733538,61429607
2000-580,Australian Open,Hard,2000-01-17,128,G,75,5,R64,178.0,6-4 7-6(3) 3-6 6-4,10242596,Franco Squillari,franco squillari,L,ARG,24.4,48.0,,183.0,6492519,Mark Woodforde,mark woodforde,L,AUS,34.3,126.0,,188.0,2000,2000-580_R64_Franco Squillari_vs_Mark Woodforde,68344238,41571125
2000-580,Australian Open,Hard,2000-01-17,128,G,76,5,R64,140.0,4-6 6-2 6-4 6-1,3524858,Slava Dosedel,slava dosedel,R,CZE,29.4,64.0,,183.0,32449599,Paradorn Srichaphan,paradorn srichaphan,R,THA,20.5,102.0,,185.0,2000,2000-580_R64_Slava Dosedel_vs_Paradorn Srichaphan,57587140,45351021
