player_id,name,name_norm,ioc,first_seen_date,last_seen_date,match_count
7118752,Diego Junqueira,diego junqueira,ARG,2008-05-25,2011-08-29,8
12576254,Diego Schwartzman,diego schwartzman,ARG,2014-05-26,2024-08-26,97
7243957,Dieter Kindlmann,dieter kindlmann,GER,2005-01-17,2010-05-24,7
69264655,Dino Prizmic,dino prizmic,CRO,2024-01-15,2024-01-15,1
21842284,Dmitry Tursunov,dmitry tursunov,RUS,2003-08-25,2017-08-28,85
53185636,Dominic Stricker,dominic stricker,SUI,2023-03-07,2025-01-13,9
40035892,Dominic Thiem,dominic thiem,AUT,2014-01-13,2024-08-26,111
10010775,Dominik Hrbaty,dominik hrbaty,SVK,2000-01-17,2009-01-19,79
14280435,Dominik Koepfer,dominik koepfer,GER,2019-01-07,2025-01-13,28
6250407,Dominik Meffert,dominik meffert,GER,2007-08-27,2007-08-27,1
24810416,Donald Young,donald young,USA,2005-08-29,2018-08-27,57
22166643,Dougaz A.,dougaz a,TUN,2025-01-13,2025-01-13,1
51446045,Dudi Sela,dudi sela,ISR,2005-05-23,2018-05-28,64
99764096,Dusan Lajovic,dusan lajovic,SRB,2014-01-13,2025-06-30,69
60293574,Dusan Lojda,dusan lojda,CZE,2010-08-30,2010-08-30,1
67718971,Dusan Vemic,dusan vemic,SRB,2007-05-28,2007-05-28,1
66052276,Dustin Brown,dustin brown,JAM,2010-06-21,2018-01-15,29
44366540,Edgardo Massa,edgardo massa,ARG,2002-05-27,2006-05-29,2
78782079,Edouard Roger Vasselin,edouard roger vasselin,FRA,2007-05-28,2010-05-24,9
53951330,Edouard Roger-Vasselin,edouard roger-vasselin,FRA,2008-01-14,2016-06-27,31
45922391,Eduardo Nava,eduardo nava,USA,2021-08-30,2025-05-28,4
6307122,Eduardo Schwank,eduardo schwank,ARG,2008-05-25,2012-05-27,17
16336912,Edwin Kempes,edwin kempes,NED,2001-06-25,2002-08-26,3
51244226,Egor Gerasimov,egor gerasimov,BLR,2019-08-26,2022-01-17,14
31951863,Elias Ymer,elias ymer,SWE,2015-01-19,2024-01-07,11
35778786,Eliot Spizzirri,eliot spizzirri,USA,2024-08-26,2024-08-26,1
925434,Elliot Benchetrit,elliot benchetrit,MAR,2018-05-28,2020-09-28,6
67636016,Emil Ruusuvuori,emil ruusuvuori,FIN,2020-08-31,2024-05-27,26
40056975,Emilio Gomez,emilio gomez,ECU,2020-09-28,2022-01-17,2
72316466,Enzo Couacaud,enzo couacaud,FRA,2021-05-31,2023-08-28,8
67739863,Eric Prodon,eric prodon,FRA,2000-05-29,2012-05-27,7
64284845,Eric Taino,eric taino,PHI,2001-08-27,2002-08-26,2
77124634,Ernesto Escobedo,ernesto escobedo,MEX,2016-08-29,2023-01-16,14
89815685,Ernests Gulbis,ernests gulbis,LAT,2007-05-28,2020-01-20,85
91082262,Ethan Quinn,ethan quinn,USA,2023-08-28,2025-07-02,5
12390486,Evan King,evan king,USA,2017-08-28,2017-08-28,1
6384390,Evgeny Donskoy,evgeny donskoy,RUS,2013-01-14,2021-08-30,33
59609241,Evgeny Korolev,evgeny korolev,KAZ,2006-05-29,2010-08-30,23
50034464,Fabian Marozsan,fabian marozsan,HUN,2023-03-07,2025-07-03,11
77378609,Fabio Fognini,fabio fognini,ITA,2007-05-28,2025-06-30,133
67564074,Fabrice Santoro,fabrice santoro,FRA,2000-01-17,2010-01-18,79
59336735,Facundo Arguello,facundo arguello,ARG,2014-05-26,2015-05-24,2
24829845,Facundo Bagnis,facundo bagnis,ARG,2014-05-26,2023-01-16,22
93934671,Facundo Diaz Acosta,facundo diaz acosta,ARG,2023-05-29,2024-08-26,6
91087531,Faria J.,faria j,POR,2025-01-13,2025-07-01,4
7162033,Federico Browne,federico browne,ARG,2000-05-29,2003-05-26,4
20254810,Federico Coria,federico coria,ARG,2020-08-31,2025-01-14,22
12661837,Federico Delbonis,federico delbonis,ARG,2013-05-27,2022-08-29,45
58407807,Federico Gaio,federico gaio,ITA,2018-08-27,2020-08-31,2
44529020,Federico Luzzi,federico luzzi,ITA,2001-05-28,2006-01-16,6
5067751,Feliciano Lopez,feliciano lopez,ESP,2001-05-28,2022-06-27,179
64434596,Felipe Meligeni Alves,felipe meligeni alves,BRA,2023-08-28,2024-05-27,4
92303924,Felix Auger Aliassime,felix auger aliassime,CAN,2018-08-27,2024-08-26,55
14514333,Felix Mantilla,felix mantilla,ESP,2000-01-17,2005-08-29,32
16030999,Fernando Gonzalez,fernando gonzalez,CHI,2000-08-28,2011-08-29,114
74718412,Fernando Meligeni,fernando meligeni,BRA,2000-01-17,2003-01-13,19
16587381,Fernando Verdasco,fernando verdasco,ESP,2003-06-23,2022-08-29,184
33491560,Fernando Vicente,fernando vicente,ESP,2000-01-17,2007-06-25,42
42648993,Filip Krajinovic,filip krajinovic,SRB,2012-05-27,2023-05-29,40
